date,latitude,longitude,temp,tempmax,tempmin,humidity,conditions
2025-08-25,40.8852,-73.8795,76.8,85.1,70.9,55.0,Partially cloudy
2025-08-25,40.63,-74.026,77.0,85.6,71.0,55.1,Partially cloudy
2025-08-25,40.7178,-73.9874,76.6,85.0,70.7,54.7,Partially cloudy
2021-08-23,37.105,-113.586,83.7,97.1,70.0,16.5,Clear
2025-08-25,40.711,-73.8238,76.9,85.7,70.4,57.4,Partially cloudy
2025-08-25,37.105,-113.586,83.8,94.9,73.0,39.4,Clear
2025-08-25,40.706,-73.796,76.8,85.8,70.0,59.2,Partially cloudy
2021-08-02,40.7346,-73.9442,72.0,79.4,63.3,60.3,Partially cloudy
2025-08-26,40.8852,-73.8795,71.8,78.4,64.2,44.4,Partially cloudy
2025-08-26,40.63,-74.026,72.1,79.1,64.6,43.8,Partially cloudy
2025-08-26,40.7178,-73.9874,71.7,78.3,64.4,44.1,Partially cloudy
2021-09-11,40.718,-73.9936,69.7,76.5,61.8,52.5,Clear
2025-08-26,40.711,-73.8238,72.1,78.2,64.5,45.5,Partially cloudy
2025-08-26,40.706,-73.796,72.0,78.2,64.4,46.7,Partially cloudy
2025-08-26,37.105,-113.586,74.4,82.1,69.1,70.0,"Rain, Partially cloudy"
2025-08-26,40.7454,-73.9426,71.8,78.2,64.4,44.0,Partially cloudy
2022-08-07,40.7346,-73.9442,84.6,91.2,80.4,64.1,"Rain, Partially cloudy"
2025-08-27,40.8852,-73.8795,68.2,74.9,61.0,49.0,Partially cloudy
2025-08-27,40.63,-74.026,68.9,75.5,61.6,47.7,Partially cloudy
2025-08-27,40.7178,-73.9874,68.3,74.4,61.6,48.4,Partially cloudy
2025-08-27,40.711,-73.8238,69.5,75.7,62.8,46.6,Partially cloudy
2021-07-31,40.718,-73.9936,69.9,76.4,61.5,48.9,Clear
2021-07-31,40.7346,-73.9442,69.8,76.6,61.8,48.7,Clear
2021-07-31,40.8654,-73.8893,69.8,77.1,61.5,48.9,Clear
2021-07-31,40.62319,-74.02567,70.6,77.7,61.5,47.9,Clear
2021-08-01,40.62319,-74.02567,71.7,76.9,66.5,67.6,"Rain, Partially cloudy"
2021-08-01,40.7346,-73.9442,71.6,75.8,67.3,65.8,"Rain, Partially cloudy"
2021-08-01,40.718,-73.9936,71.6,75.8,66.9,66.8,"Rain, Partially cloudy"
2021-08-01,37.105,-113.586,84.3,96.2,71.9,45.1,Clear
2021-08-01,40.8654,-73.8893,71.4,76.1,66.8,65.8,"Rain, Partially cloudy"
2021-08-02,40.718,-73.9936,72.1,79.7,63.2,60.5,Partially cloudy
2021-08-02,40.8654,-73.8893,72.0,79.9,63.1,60.4,Partially cloudy
2021-08-02,40.62319,-74.02567,72.7,80.7,62.8,59.6,Partially cloudy
2021-08-03,40.718,-73.9936,72.3,79.2,65.8,51.9,Partially cloudy
2021-08-03,40.7346,-73.9442,72.3,79.0,66.5,51.5,Partially cloudy
2021-08-03,40.8654,-73.8893,72.1,78.6,65.8,51.4,Partially cloudy
2021-08-03,40.701647,-73.8038,72.2,79.1,66.5,53.8,Partially cloudy
2021-08-03,37.105,-113.586,91.6,104.1,78.2,25.8,Clear
2021-08-03,40.62319,-74.02567,72.4,79.4,64.3,51.4,Partially cloudy
2021-08-04,40.7346,-73.9442,72.2,75.4,69.0,63.9,Partially cloudy
2021-08-04,40.718,-73.9936,72.3,75.8,68.9,63.8,Partially cloudy
2021-08-04,37.105,-113.586,92.9,107.0,77.0,20.3,Clear
2021-08-04,40.8654,-73.8893,72.0,75.2,68.8,64.3,Partially cloudy
2021-08-04,40.701647,-73.8038,71.6,74.4,68.0,67.3,Partially cloudy
2021-08-04,40.62319,-74.02567,72.5,76.4,68.7,63.4,Partially cloudy
2021-08-05,40.718,-73.9936,73.7,81.0,69.3,67.5,Partially cloudy
2021-08-05,40.62319,-74.02567,74.8,83.2,69.5,65.2,Partially cloudy
2021-08-05,40.7346,-73.9442,73.4,80.5,69.1,68.1,Partially cloudy
2021-08-05,37.105,-113.586,93.3,107.0,64.5,18.4,Clear
2021-08-05,40.8654,-73.8893,73.4,80.9,68.9,68.1,Partially cloudy
2021-08-06,40.7346,-73.9442,78.7,88.0,70.5,59.9,Clear
2021-08-06,37.105,-113.586,91.1,102.8,47.3,17.2,Clear
2021-08-06,40.62319,-74.02567,79.4,88.8,68.5,60.4,Partially cloudy
2021-08-07,40.62319,-74.02567,79.9,87.8,72.3,56.2,Partially cloudy
2021-08-07,40.7346,-73.9442,79.3,85.9,74.1,56.9,Partially cloudy
2021-08-07,40.8654,-73.8893,79.4,86.4,73.4,56.6,Partially cloudy
2021-08-07,40.718,-73.9936,79.3,85.9,73.9,57.5,Partially cloudy
2021-08-08,40.7346,-73.9442,71.7,77.7,66.8,74.9,"Rain, Partially cloudy"
2021-08-08,40.718,-73.9936,71.8,77.6,67.3,75.2,"Rain, Partially cloudy"
2021-08-08,37.105,-113.586,85.6,101.9,69.2,16.5,Clear
2021-08-08,40.62319,-74.02567,72.6,77.5,68.1,73.5,"Rain, Partially cloudy"
2021-08-09,40.718,-73.9936,74.4,78.7,69.8,78.5,"Rain, Partially cloudy"
2021-08-09,40.62319,-74.02567,75.4,81.0,70.0,76.4,"Rain, Partially cloudy"
